datetime,date,time,kospi_close,btc_close
2026-03-03 09:00:00,2026-03-03,9:00,6120.9,100700000.0
2026-03-03 09:30:00,2026-03-03,9:30,6167.47,101299000.0
2026-03-03 10:00:00,2026-03-03,10:00,6127.87,101091000.0
2026-03-03 10:30:00,2026-03-03,10:30,6077.5,100891000.0
2026-03-03 11:00:00,2026-03-03,11:00,6044.03,100288000.0
2026-03-03 11:30:00,2026-03-03,11:30,5986.03,100302000.0
2026-03-03 12:00:00,2026-03-03,12:00,5908.51,100011000.0
2026-03-03 12:30:00,2026-03-03,12:30,5977.37,99898000.0
2026-03-03 13:00:00,2026-03-03,13:00,5917.29,99840000.0
2026-03-03 13:30:00,2026-03-03,13:30,5856.72,99594000.0
2026-03-03 14:00:00,2026-03-03,14:00,5904.83,100167000.0
2026-03-03 14:30:00,2026-03-03,14:30,5828.44,99432000.0
2026-03-03 15:00:00,2026-03-03,15:00,5792.2,99422000.0
2026-03-03 15:30:00,2026-03-03,15:30,5791.91,99620000.0
2026-03-04 09:00:00,2026-03-04,9:00,5622.86,100440000.0
2026-03-04 09:30:00,2026-03-04,9:30,5577.29,100101000.0
2026-03-04 10:00:00,2026-03-04,10:00,5443.94,100401000.0
2026-03-04 10:30:00,2026-03-04,10:30,5434.44,100659000.0
2026-03-04 11:00:00,2026-03-04,11:00,5322.93,100036000.0
2026-03-04 11:30:00,2026-03-04,11:30,5276.89,100250000.0
2026-03-04 12:00:00,2026-03-04,12:00,5129.37,99664000.0
2026-03-04 12:30:00,2026-03-04,12:30,5333.32,99333000.0
2026-03-04 13:00:00,2026-03-04,13:00,5259.62,99241000.0
2026-03-04 13:30:00,2026-03-04,13:30,5206.6,99405000.0
2026-03-04 14:00:00,2026-03-04,14:00,5149.48,99403000.0
2026-03-04 14:30:00,2026-03-04,14:30,5192.46,99967000.0
2026-03-04 15:00:00,2026-03-04,15:00,5083.02,99880000.0
2026-03-04 15:30:00,2026-03-04,15:30,5093.54,100229000.0
2026-03-05 09:00:00,2026-03-05,9:00,5692.42,105827000.0
2026-03-05 09:30:00,2026-03-05,9:30,5673.59,105929000.0
2026-03-05 10:00:00,2026-03-05,10:00,5666.38,106141000.0
2026-03-05 10:30:00,2026-03-05,10:30,5553.87,105521000.0
2026-03-05 11:00:00,2026-03-05,11:00,5592.08,105744000.0
2026-03-05 11:30:00,2026-03-05,11:30,5608.14,105371000.0
2026-03-05 12:00:00,2026-03-05,12:00,5584.07,105398000.0
2026-03-05 12:30:00,2026-03-05,12:30,5526.07,105546000.0
2026-03-05 13:00:00,2026-03-05,13:00,5578.71,106050000.0
2026-03-05 13:30:00,2026-03-05,13:30,5638.23,106173000.0
2026-03-05 14:00:00,2026-03-05,14:00,5656.12,105720000.0
2026-03-05 14:30:00,2026-03-05,14:30,5636.46,105692000.0
2026-03-05 15:00:00,2026-03-05,15:00,5601.37,105654000.0
2026-03-05 15:30:00,2026-03-05,15:30,5583.9,105809000.0
